Section,Databundelcode,Record ID,Uitvalreden,Informatie
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T107232N_2225,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T107388N_2227,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T107392N_2229,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T123776N_2231,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T123867N_2233,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T124929N_2235,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T138333N_2237,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T139604N_2251,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T140302N_2255,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T141579N_2258,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T141587N_2262,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522O_2266,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T107199N_2268,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T107232N_2269,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T107388N_2271,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T123776N_2273,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T123867N_2275,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T124319N_2277,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T124929N_2279,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T138333N_2281,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T139604N_2304,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T140302N_2308,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189522T141587N_2312,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524O_2339,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T123776N_2342,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T123867N_2344,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T124913N_2346,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T124929N_2348,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T1360N_2350,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T138333N_2352,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189524T140295N_2354,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
